Scheme Name		Net Asset Value
HDFC Banking and PSU Debt Fund - IDCW Option		10.1394
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan		10.0298
		
		
		
HSBC Banking and PSU Debt Fund - Direct Daily IDCW		11.1873
HSBC Banking and PSU Debt Fund - Direct Growth		24.5804
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW		11.226
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW		10.345
HSBC Banking and PSU Debt Fund - Regular Daily IDCW		11.1118
HSBC Banking and PSU Debt Fund - Regular Growth		23.3691
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW		10.5418
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW		10.3178
		
		
		
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW		10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW		10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus		15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW		10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth		32.9253
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW		12.8078
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW		10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus		13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option		13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth		31.6275
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW		10.8501
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option		12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend		10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth		21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend		10.3305
		
		
		
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)		1022.7683
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option		2337.859
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)		1039.744
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)		1011.6836
Invesco India Banking and PSU Fund - Growth Option		2186.8042
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)		1038.5579
		
		
		
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option		12.9072
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option		12.9077
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option		12.6039
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option		12.6050
		
		
		
Kotak Banking and PSU Debt - Annual Dividend		16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment		10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment		10.2604
Kotak Banking and PSU Debt - Growth		63.1249
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option		11.8597
Kotak Banking and PSU Debt Direct - Annual Dividend		17.1427
Kotak Banking and PSU Debt Direct - Growth		65.682
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option		10.2475
		
		
		
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW		14.2991
LIC MF Banking & PSU Fund-Direct Plan-Growth		36.108
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW		13.5987
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW		10.0511
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW		11.1229
LIC MF Banking & PSU Fund-Regular Plan-Growth		33.5436
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW		12.5541
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW		10.2196
		
		
		
Mirae Asset Banking and PSU Fund - Direct Plan - Growth		12.7799
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW		12.7760
Mirae Asset Banking and PSU Fund - Regular Plan - Growth		12.5219
Mirae Asset Banking and PSU Fund - Regular plan - IDCW		12.5229
		
		
		
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option		20.7390
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option		20.7386
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option		12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option		20.0132
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option		20.7386
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option		10.7649
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option		10.8976
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option		10.3143
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option		20.0132
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option		10.6956
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option		10.8358
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option		10.3151
		
		
		
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)		1404.7202
SBI BANKING & PSU FUND - Direct Plan - Growth		3189.1193
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)		1278.6363
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)		1401.5977
SBI BANKING & PSU FUND - Regular Paln - Growth		3005.4271
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)		1371.1598
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)		1202.4200
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)		1370.8664
		
		
		
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth		11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend		11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend		10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus		11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment		11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth		11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend		11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus		11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend		11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend		10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus		21.0541
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)		10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth		42.0856
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)		11.5767
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus		20.9369
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)		10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth		41.5191
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)		11.6287
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)		12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth		35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)		11.4908
		
		
		
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH		1251.1305
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH		1226.1458
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION		1133.0683
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL		1253.7861
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION		1110.134
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL		1129.9219
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL		1092.2758
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL		1109.1707
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL		1191.0421
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL		1092.9244
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL		1107.5548
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL		1077.2342
		
		
		
UTI Banking & PSU Fund - Direct Plan - Annual IDCW		13.1997
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW		18.5239
UTI Banking & PSU Fund - Direct Plan - Growth Option		21.4962
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW		14.2643
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW		13.1696
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW		15.9993
UTI Banking & PSU Fund - Regular Plan - Annual IDCW		12.9766
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW		14.1847
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW		14.1252
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW		12.9658
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW		14.5155
UTI Banking & PSU Fund- Regular Plan - Growth Option		21.1519
		
		
		
		
		
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan		110.7932
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan		109.0178
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW		10.3163
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW		12.7333
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW		11.5965
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW		12.546
		
		
		
Axis Corporate Bond Fund - Direct Plan - Daily IDCW		10.2309
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW		10.2228
Axis Corporate Bond Fund - Direct Plan - Regular IDCW		13.5451
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW		10.3680
Axis Corporate Bond Fund - Direct Plan Growth		17.3620
Axis Corporate Bond Fund - Regular Plan - Daily IDCW		10.2297
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW		10.2172
Axis Corporate Bond Fund - Regular Plan - Regular IDCW		12.7030
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW		10.2495
Axis Corporate Bond Fund - Regular Plan Growth		16.4414
		
		
		
BANDHAN Corporate Bond Fund - Direct Annual IDCW		10.8932
BANDHAN Corporate Bond Fund - Direct Growth		19.0714
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW		11.7125
BANDHAN Corporate Bond Fund - Direct Monthly IDCW		10.3570
BANDHAN Corporate Bond Fund - Direct Periodic IDCW		12.6527
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW		10.5818
BANDHAN Corporate Bond Fund - Regular Annual IDCW		10.8572
BANDHAN Corporate Bond Fund - Regular Growth		18.5433
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW		11.0859
BANDHAN Corporate Bond Fund - Regular Monthly IDCW		10.6097
BANDHAN Corporate Bond Fund - Regular Periodic IDCW		12.5007
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW		10.6180
		
		
		
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option		11.0073
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option		30.5788
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option		10.2973
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option		10.3572
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option		11.2477
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option		28.0606
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option		10.4644
